-2.300000 0.000000
-2.261667 0.029713
-2.223333 0.060294
-2.185000 0.089913
-2.146667 0.119437
-2.108333 0.149727
-2.070000 0.178969
-2.031667 0.208026
-1.993333 0.237742
-1.955000 0.266337
-1.916667 0.294663
-1.878333 0.323538
-1.840000 0.351236
-1.801667 0.378587
-1.763333 0.406378
-1.725000 0.432951
-1.686667 0.459109
-1.648333 0.485603
-1.610000 0.510854
-1.571667 0.535631
-1.533333 0.560645
-1.495000 0.584409
-1.456667 0.607650
-1.418333 0.631036
-1.380000 0.653177
-1.341667 0.674760
-1.303333 0.696402
-1.265000 0.716821
-1.226667 0.736653
-1.188333 0.756467
-1.150000 0.775089
-1.111667 0.793108
-1.073333 0.811037
-1.035000 0.827817
-0.996667 0.843983
-0.958333 0.859995
-0.920000 0.874908
-0.881667 0.889203
-0.843333 0.903285
-0.805000 0.916324
-0.766667 0.928745
-0.728333 0.940897
-0.690000 0.952068
-0.651667 0.962624
-0.613333 0.972859
-0.575000 0.982175
-0.536667 0.990881
-0.498333 0.999218
-0.460000 1.006696
-0.421667 1.013572
-0.383333 1.020030
-0.345000 1.025690
-0.306667 1.030755
-0.268333 1.035352
-0.230000 1.039212
-0.191667 1.042481
-0.153333 1.045232
-0.115000 1.047305
-0.076667 1.048791
-0.038333 1.049707
0.000000 1.050000
0.038333 1.049707
0.076667 1.048791
0.115000 1.047305
0.153333 1.045232
0.191667 1.042481
0.230000 1.039212
0.268333 1.035352
0.306667 1.030755
0.345000 1.025690
0.383333 1.020030
0.421667 1.013572
0.460000 1.006696
0.498333 0.999218
0.536667 0.990881
0.575000 0.982175
0.613333 0.972859
0.651667 0.962624
0.690000 0.952068
0.728333 0.940897
0.766667 0.928745
0.805000 0.916324
0.843333 0.903285
0.881667 0.889203
0.920000 0.874908
0.958333 0.859995
0.996667 0.843983
1.035000 0.827817
1.073333 0.811037
1.111667 0.793108
1.150000 0.775089
1.188333 0.756467
1.226667 0.736653
1.265000 0.716821
1.303333 0.696402
1.341667 0.674760
1.380000 0.653177
1.418333 0.631036
1.456667 0.607650
1.495000 0.584409
1.533333 0.560645
1.571667 0.535631
1.610000 0.510854
1.648333 0.485603
1.686667 0.459109
1.725000 0.432951
1.763333 0.406378
1.801667 0.378587
1.840000 0.351236
1.878333 0.323538
1.916667 0.294663
1.955000 0.266337
1.993333 0.237742
2.031667 0.208026
2.070000 0.178969
2.108333 0.149727
2.146667 0.119437
2.185000 0.089913
2.223333 0.060294
2.261667 0.029713
2.300000 0.000000
